Station 	Elevation
3541.25	349.9
3547.27	349.93
3552.55	350.04
3557.08	350
3569.06	350.42
3572.65	350.34
3575.75	350.66
3578.73	350.68
3584.02	350.35
3591.7	350.34
3596.51	348.78
3601.63	348.35
3606.62	348.35
3612.37	348.24
3618.11	348.05
3623.8	347.85
3630.22	347.71
3636.9	348.47
3643.12	348.68
3649.12	348.24
3655.18	348.11
3660.67	348.32
3666.33	348.5
3671.64	348.73
3676.81	348.87
3681.4	349.38
3687.12	350.17
3694.01	351.25
3698.68	352.56
3713.25	355.11
3717.55	356.22
3726.46	356.83
3729.44	357.02
3732.42	357.12
3735.4	357.18
3738.38	357.16
3741.36	357.08
3744.34	357.16
3747.32	357.27
3750.3	357.24
3753.28	357.03
3756.26	356.76
3759.24	356.78
3762.22	356.91
3765.2	356.96
3768.18	356.87
3771.16	357.05
3774.14	356.91
3777.12	356.69
3780.1	356.75
3783.08	356.56
3786.06	356.32
3789.04	356.55
3792.02	356.93
3795	357.23
3797.98	357.27
3800.96	357.11
3803.94	357.04
3806.92	357.07
3809.9	356.96
3812.88	356.66
3815.86	356.51
3818.84	356.48
3821.82	356.37
3824.8	356.43
3827.78	356.55
3830.76	356.71
3833.74	356.95
3836.72	356.99
3839.7	356.73
3842.68	356.52
3845.66	356.52
3848.64	356.39
3851.62	356.23
3854.6	356.2
3857.58	356.18
3860.56	356.18
3863.54	356.18
3866.52	356.23
3869.5	356.34
3872.48	356.38
3875.46	356.46
3878.44	356.47
3881.42	356.44
3884.4	356.44
3887.38	356.43
3890.36	356.4
3893.34	356.37
3896.32	356.33
3899.3	356.31
3902.28	356.36
3905.26	356.4
3908.24	356.44
3911.22	356.25
3914.2	356.38
3917.18	356.8
3920.16	356.88
3923.14	356.76
3926.12	356.47
3929.1	356.41
3932.08	356.39
3935.06	356.36
3938.04	356.43
3941.02	356.5
3944	356.48
3946.98	356.53
3949.96	356.84
3952.94	356.91
3955.92	356.61
3958.9	356.32
3961.88	356.21
3964.86	356.19
3967.84	356.26
3970.82	356.35
3973.8	356.33
3976.78	356.01
3979.76	355.44
3982.74	355.2
3985.72	355.35
3988.7	355.73
3991.68	355.88
3994.66	355.42
3997.64	355.12
4000.62	355.15
4003.6	355.22
4006.58	355.44
4009.56	355.55
4012.54	355.43
4015.52	355.4
4018.53	355.32
4028.41	353.1
4058.82	351.83
4062.8	351.51
4066.87	350.95
4071.68	350.43
4074.22	349.96
4075.67	349.79
4078.46	349.33
4082.92	349.01
4087.64	348.43
4089.47	348.39
4091.52	347.96
4094.11	347.62
4096.45	347.32
4098.8	347.36
4101.01	347.48
4103.94	347.53
4106.83	347.55
4109.65	347.44
4112.12	347.27
4117.41	346.8
4120.12	346.93
4122.76	346.99
4125.57	347.13
4128.28	347
4136.21	347
4142.54	347.74
4147.01	348.13
4150.48	348.48
4151.99	348.62
4154.97	348.87
4156.84	348.77
4158.65	348.92
4160.9	349.08
4163.18	349.33
4165.44	349.44
4167.89	349.4
4170.57	349.56
4172.81	349.73
4175.31	349.73
4177.74	349.9
4180.12	350.06
4182.71	350.2
4185.26	349.32
4187.64	350.28
4189.69	350.34
4191.86	350.41
4194.01	350.42
4196.07	350.59
4200.01	350.9
4202.15	351.19
4204.24	351
4206.1	351.18
4207.85	351.21
4209.76	351.14
4211.39	351.26
4213.22	351.29
4215.38	351.48
4217.43	351.64
4219.3	351.74
4223.13	351.79
4227.36	351.89
4256.65	353.14
4267.39	354.08
4294.07	354.85
4307.77	353.89
4310.72	355.24
4312.18	355.51
4313.71	355.8
4316.7	356.13
4319.69	356.15
4322.68	356.08
4325.67	356.01
4328.66	355.99
4331.65	356.37
4334.64	357.17
4337.63	358.1
4340.62	358.87
4343.61	359.06
4346.6	358.89
4349.59	358.7
4352.58	358.57
4355.57	358.59
4358.56	358.51
4361.55	358.34
4364.54	358.4
4367.53	358.4
4370.52	358.38
4373.51	358.57
4376.5	358.64
4379.49	358.46
4382.48	358.1
4385.48	358.09
4388.47	358.27
4391.46	358.3
4394.45	358.14
4397.44	358.06
4400.43	358.19
4403.42	358.18
4406.41	358.05
4409.4	357.91
4412.39	357.75
4415.38	357.59
4418.37	357.47
4421.36	357.35
4424.35	357.18
4427.34	357.12
4430.33	357.05
4433.32	357.01
4436.31	357.14
4439.3	357.16
4442.29	357.11
4445.28	357.2
4448.27	357.16
4451.26	357.06
4454.25	357.1
4457.24	357.17
4460.23	357.26
4463.22	357.26
4466.21	357.15
4469.2	357.09
4472.19	357.08
4475.18	357.13
4478.17	357.31
4481.16	357.44
4484.15	357.4
4487.14	357.33
4490.13	357.29
4493.12	357.33
4496.11	357.42
